ID,Name,Concepticon_ID,Concepticon_Gloss
kidney,kidney,489,KIDNEY
womb,womb,804,WOMB
hiccough,hiccough,162,HICCOUGH
breakwind,break wind,1159,FART
havesexualintercourse,have sexual intercourse,1785,HAVE SEX
wellhealth,"well, health",1364,HEALTHY
scar,scar,497,SCAR
deaf,deaf,996,DEAF
pitcherjug,"pitcher, jug",270,JUG
spoon,spoon,1378,SPOON
knife,knife,1352,KNIFE
breakfast,breakfast,1322,BREAKFAST
knead,knead,274,KNEAD
mealflour,"meal, flour",1594,FLOUR
pepper,pepper,1385,PEPPER
sugar,sugar,862,SUGAR
cheese,cheese,1569,CHEESE
butter,butter,1245,BUTTER
wine,wine,1524,WINE
eggyolk,egg yolk,1556,YOLK
weave,weave,133,WEAVE
awl,awl,278,AWL
cloak,cloak,326,CLOAK
stockingsock,"stocking, sock",329,STOCKING
pocket,pocket,1851,POCKET
button,button,757,BUTTON
necklace,necklace,1961,NECKLACE
brush,brush,1821,BRUSH
razor,razor,151,RAZOR
